Date,Price,Open,High,Low,Vol,Change%
30-07-2010,115.4899979,114.3600006,115.7300034,114.0800018,10093200,1.05
02-08-2010,115.5400009,116.1200027,116.3899994,115.1999969,8473400,0.04
03-08-2010,115.9899979,115.8799973,116.4400024,115.8099976,5579400,0.39
04-08-2010,116.7200012,117.4100037,117.6500015,116.6500015,10323200,0.63
05-08-2010,116.9800034,117.0100021,117.0999985,116.3499985,7023000,0.22
06-08-2010,117.8399963,117.9899979,118.4199982,117.4899979,10001700,0.74
09-08-2010,117.4000015,117.7600021,117.8499985,117.2300034,6751400,-0.37
10-08-2010,117.7300034,116.5899963,118.0899963,116.4000015,10444900,0.28
11-08-2010,117.3399963,117.7399979,118.1399994,116.5800018,12436900,-0.33
12-08-2010,118.7699966,118.5599976,118.8600006,118.4599991,12327000,1.22
13-08-2010,118.7399979,118.8199997,118.8899994,118.3600006,10213200,-0.03
16-08-2010,119.7300034,119.6999969,119.8199997,119.4599991,8948300,0.83
17-08-2010,119.75,119.75,119.9700012,119.5999985,9145400,0.02
18-08-2010,120.2200012,119.2300034,120.5100021,119,12102500,0.39
19-08-2010,120.3899994,120.6500015,120.9899979,120.1100006,10014500,0.14
20-08-2010,119.9700012,119.9700012,120.0699997,119.4499969,10682100,-0.35
23-08-2010,119.7799988,119.9100037,120.0699997,119.4199982,4857800,-0.16
24-08-2010,120.3600006,118.7699966,120.8000031,118.7099991,14811400,0.48
25-08-2010,121.3600006,121.1200027,121.3799973,120.6699982,13987100,0.83
26-08-2010,120.9599991,121.0899963,122.9499969,120.5,8886600,-0.33
27-08-2010,121.0100021,121.1999969,121.4499969,120.4199982,11155400,0.04
30-08-2010,120.9100037,120.8499985,121.0599976,120.5800018,4390900,-0.08
31-08-2010,122.0800018,121.7699966,122.1900024,121.4599991,12249700,0.97
01-09-2010,121.6900024,122.1500015,122.2099991,121.4300003,11873500,-0.32
02-09-2010,122.2900009,122.3799973,122.4800034,121.8899994,7002100,0.49
03-09-2010,121.8600006,121.3899994,122.3899994,121.1500015,9074500,-0.35
07-09-2010,122.6999969,122.9100037,123.0599976,122.6299973,8777500,0.69
08-09-2010,122.7099991,122.8199997,123.4199982,122.5999985,9788900,0.01
09-09-2010,121.5599976,122.4400024,122.8799973,121.3799973,13745000,-0.94
10-09-2010,121.7300034,121.4000015,122.3000031,121.3899994,12510000,0.14
13-09-2010,121.6200027,121.6299973,122.1100006,121.3899994,9693300,-0.09
14-09-2010,124.0199966,122.9199982,124.5899963,121.5500031,26588900,1.97
15-09-2010,123.9400024,123.9700012,124.2900009,123.4300003,11689100,-0.06
16-09-2010,124.6299973,124.5,124.7699966,124.1900024,12672800,0.56
17-09-2010,124.5400009,125.0299988,125.0299988,124.2699966,13819200,-0.07
20-09-2010,124.8700027,125.0899963,125.4499969,124.7799988,8475800,0.26
21-09-2010,126.0100021,124.7699966,126.1699982,124.1600037,20408400,0.91
22-09-2010,126.1999969,126.5800018,126.6299973,125.6999969,11046900,0.15
23-09-2010,126.3000031,126.1999969,126.6600037,125.8099976,9325200,0.08
24-09-2010,126.6900024,126.9100037,127,126.3000031,14945000,0.31
27-09-2010,126.7200012,126.9000015,126.9100037,126.4800034,6679700,0.02
28-09-2010,127.8499985,126.4199982,128.0299988,126.1100006,19857200,0.89
29-09-2010,127.9499969,127.9300003,128.2400055,127.5199966,12328900,0.08
30-09-2010,127.9100037,128.1499939,128.2799988,126.6100006,19213400,-0.03
01-10-2010,128.9100037,127.9100037,129.0700073,127.9100037,17211900,0.78
04-10-2010,128.4600067,128.5200043,128.6199951,128.2200012,8368000,-0.35
05-10-2010,130.9900055,130.1100006,131.1199951,129.8699951,17489600,1.97
06-10-2010,131.8099976,131.4499969,131.8600006,131.3399963,16142200,0.63
07-10-2010,130.3699951,132.6000061,132.6699982,129.5099945,38676800,-1.09
